,Title,Rating,Designation,Pros,Cons,Date,Position,sentiment,all_features
563,Decent Embedded employer,4,"Current Employee, more than 5 years","Decent growth, on-site, good for performers",Bad for average ppl and worst place for non contributors,2017, Anonymous Employee ,1,"Decent Embedded employer Decent growth, on-site, good for performers Bad for average ppl and worst place for non contributors"
564,Global End User Compute Senior Service Manager,4,Current Employee,It has been a long career.,Has had its ups and downs.,2018, Anonymous Employee ,1,Global End User Compute Senior Service Manager It has been a long career. Has had its ups and downs.
565,Lean,4,"Current Employee, more than 5 years","International company , good job opportunities abroad","Too busy, average wage , less promotion opportunities",2018," Lean in Fort Myers, FL",1,"Lean International company , good job opportunities abroad Too busy, average wage , less promotion opportunities"
566,Good company for long term,5,"Current Employee, more than 1 year",Managers are supportive and good leadership opportunities\,Not expected salary package criteria,2018," Design Engineer in Fort Myers, FL",1,Good company for long term Managers are supportive and good leadership opportunities\ Not expected salary package criteria
567,Good plan to learn,4,Current Employee,Quite a lot to learn Flexibility in timing,Too much work pressure Politics at workplace,2017, Anonymous Employee ,1,Good plan to learn Quite a lot to learn Flexibility in timing Too much work pressure Politics at workplace
568,good company culture,5,Current Employee,It is happy to work here.,Nothing special in my mind.,2018, Anonymous Employee ,1,good company culture It is happy to work here. Nothing special in my mind.
569,Maintenance Supervisor,4,"Current Employee, more than 1 year",Good place to work at,Not appreciative in your job,2018," Maintenance Supervisor in Amf G Boro, NC",1,Maintenance Supervisor Good place to work at Not appreciative in your job
572,OPERATIONS MANAGER,2,"Former Employee, more than 8 years","Multinational company, respect to human rights, no discrimination","low salary, too much change in management, short term management style",2018, Anonymous Employee ,0,"OPERATIONS MANAGER Multinational company, respect to human rights, no discrimination low salary, too much change in management, short term management style"
574,Have been with them a year,2,Current Employee,Good location in the silicon valley,The location is closing down,2018, Anonymous Employee ,0,Have been with them a year Good location in the silicon valley The location is closing down
577,Logistics Buyer,2,Current Employee,Great working environment in terms of employees.,Mainly salaries are extremely low.,2018, Anonymous Employee ,0,Logistics Buyer Great working environment in terms of employees. Mainly salaries are extremely low.
578,worst place i have ever worked,1,Former Employee,"good salary, nice area for future","feeling like tool, no work-life balance",2018, Entwicklungsingenieur in Wiehl,0,"worst place i have ever worked good salary, nice area for future feeling like tool, no work-life balance"
